118    5 54   5 50   5 46   5 42   5 38   5 34   5 26   5 18   5  8   4 57   4 43   4 25   4 14   4  0   4  0   3 53   3 46   3 39   3 30   3 20   3  9   2 56   2 41   2 22   1 58   1 24  // //  // //
119    5 56   5 51   5 47   5 43   5 39   5 35   5 26   5 18   5  8   4 56   4 42   4 24   4 12   3 58   3 58   3 52   3 45   3 37   3 28   3 18   3  7   2 53   2 38   2 18   1 53   1 17  // //  // //
120    5 58   5 53   5 48   5 44   5 39   5 35   5 27   5 18   5  8   4 56   4 41   4 23   4 11   3 57   3 57   3 50   3 43   3 35   3 26   3 16   3  4   2 50   2 34   2 14   1 48   1  8  // //  // //
121    5 59   5 54   5 49   5 45   5 40   5 36   5 27   5 18   5  7   4 55   4 41   4 22   4 10   3 55   3 55   3 49   3 41   3 33   3 24   3 13   3  1   2 47   2 31   2 10   1 43   0 59  // //  // //
122    6  1   5 55   5 50   5 45   5 41   5 36   5 27   5 18   5  7   4 55   4 40   4 21   4  9   3 54   3 54   3 47   3 39   3 31   3 22   3 11   2 59   2 44   2 27   2  6   1 37   0 49  // //  // //
123    6  3   5 57   5 51   5 46   5 42   5 37   5 28   5 18   5  7   4 55   4 39   4 20   4  7   3 52   3 52   3 45   3 38   3 29   3 20   3  9   2 56   2 42   2 24   2  2   1 31   0 36  // //  // //
124    6  4   5 58   5 52   5 47   5 42   5 37   5 28   5 18   5  7   4 54   4 39   4 19   4  6   3 51   3 51   3 44   3 36   3 27   3 17   3  6   2 54   2 39   2 20   1 57   1 25   0 16  // //  // //
125    6  6   5 59   5 53   5 48   5 43   5 38   5 28   5 18   5  7   4 54   4 38   4 18   4  5   3 49   3 49   3 42   3 34   3 25   3 15   3  4   2 51   2 36   2 17   1 53   1 19  // //  // //  // //
126    6  7   6  0   5 54   5 49   5 44   5 39   5 28   5 18   5  7   4 53   4 37   4 17   4  4   3 48   3 48   3 41   3 33   3 24   3 13   3  2   2 49   2 33   2 13   1 48   1 12  // //  // //  // //
127    6  9   6  2   5 55   5 50   5 44   5 39   5 29   5 18   5  6   4 53   4 37   4 16   4  3   3 47   3 47   3 39   3 31   3 22   3 11   3  0   2 46   2 30   2 10   1 44   1  5  // //  // //  // //
128    6 10   6  3   5 56   5 51   5 45   5 40   5 29   5 18   5  6   4 53   4 36   4 15   4  2   3 45   3 45   3 38   3 29   3 20   3  9   2 57   2 43   2 27   2  6   1 39   0 57  // //  // //  // //
129    6 12   6  4   5 58   5 51   5 46   5 40   5 29   5 18   5  6   4 52   4 36   4 14   4  0   3 44   3 44   3 36   3 28   3 18   3  7   2 55   2 41   2 24   2  3   1 34   0 47  // //  // //  // //
130    6 13   6  5   5 59   5 52   5 46   5 41   5 30   5 18   5  6   4 52   4 35   4 13   3 59   3 43   3 43   3 35   3 26   3 16   3  6   2 53   2 38   2 21   1 59   1 29   0 36  // //  // //  // //
131    6 15   6  7   6  0   5 53   5 47   5 41   5 30   5 18   5  6   4 52   4 34   4 12   3 58   3 41   3 41   3 33   3 25   3 15   3  4   2 51   2 36   2 18   1 55   1 24   0 22  // //  // //  // //
132    6 16   6  8   6  1   5 54   5 48   5 42   5 30   5 18   5  6   4 51   4 34   4 12   3 57   3 40   3 40   3 32   3 23   3 13   3  2   2 49   2 34   2 15   1 52   1 19  // //  // //  // //  // //
133    6 18   6  9   6  2   5 55   5 48   5 42   5 31   5 19   5  6   4 51   4 33   4 11   3 56   3 39   3 39   3 31   3 22   3 11   3  0   2 47   2 31   2 12   1 48   1 13  // //  // //  // //  // //
134    6 19   6 10   6  3   5 56   5 49   5 43   5 31   5 19   5  6   4 51   4 33   4 10   3 55   3 38   3 38   3 29   3 20   3 10   2 58   2 45   2 29   2  9   1 44   1  7  // //  // //  // //  // //
135    6 21   6 11   6  3   5 56   5 50   5 43   5 31   5 19   5  6   4 50   4 32   4  9   3 54   3 36   3 36   3 28   3 19   3  8   2 56   2 42   2 26   2  6   1 40   1  1  // //  // //  // //  // //
136    6 22   6 13   6  4   5 57   5 50   5 44   5 32   5 19   5  6   4 50   4 32   4  8   3 53   3 35   3 35   3 27   3 17   3  7   2 54   2 40   2 24   2  3   1 37   0 54  // //  // //  // //  // //
137    6 23   6 14   6  5   5 58   5 51   5 44   5 32   5 19   5  5   4 50   4 31   4  8   3 53   3 34   3 34   3 25   3 16   3  5   2 53   2 38   2 21   2  1   1 33   0 47  // //  // //  // //  // //
138    6 25   6 15   6  6   5 59   5 52   5 45   5 32   5 19   5  5   4 50   4 31   4  7   3 52   3 33   3 33   3 24   3 14   3  3   2 51   2 36   2 19   1 58   1 29   0 38  // //  // //  // //  // //
139    6 26   6 16   6  7   6  0   5 52   5 46   5 33   5 19   5  5   4 50   4 31   4  6   3 51   3 32   3 32   3 23   3 13   3  2   2 49   2 34   2 17   1 55   1 25   0 28  // //  // //  // //  // //
140    6 27   6 17   6  8   6  0   5 53   5 46   5 33   5 20   5  5   4 49   4 30   4  6   3 50   3 31   3 31   3 22   3 12   3  1   2 48   2 33   2 15   1 52   1 20   0 11  // //  // //  // //  // //
141    6 29   6 18   6  9   6  1   5 54   5 47   5 33   5 20   5  5   4 49   4 30   4  5   3 49   3 30   3 30   3 21   3 11   2 59   2 46   2 31   2 12   1 49   1 16  // //  // //  // //  // //  // //
142    6 30   6 19   6 10   6  2   5 54   5 47   5 34   5 20   5  5   4 49   4 29   4  4   3 48   3 29   3 29   3 20   3  9   2 58   2 44   2 29   2 10   1 46   1 12  // //  // //  // //  // //  // //
143    6 31   6 20   6 11   6  3   5 55   5 48   5 34   5 20   5  5   4 49   4 29   4  4   3 48   3 28   3 28   3 19   3  8   2 56   2 43   2 27   2  8   1 43   1  7  // //  // //  // //  // //  // //
144    6 32   6 21   6 12   6  3   5 55   5 48   5 34   5 20   5  5   4 49   4 29   4  3   3 47   3 27   3 27   3 18   3  7   2 55   2 41   2 25   2  6   1 40   1  3  // //  // //  // //  // //  // //
145    6 34   6 22   6 13   6  4   5 56   5 49   5 35   5 20   5  5   4 49   4 29   4  3   3 46   3 26   3 26   3 17   3  6   2 54   2 40   2 24   2  4   1 38   0 58  // //  // //  // //  // //  // //
146    6 35   6 23   6 13   6  5   5 57   5 49   5 35   5 21   5  5   4 49   4 28   4  2   3 46   3 25   3 25   3 16   3  5   2 53   2 38   2 22   2  2   1 35   0 53  // //  // //  // //  // //  // //
147    6 36   6 24   6 14   6  5   5 57   5 50   5 35   5 21   5  6   4 48   4 28   4  2   3 45   3 24   3 24   3 15   3  4   2 51   2 37   2 20   1 59   1 32   0 47  // //  // //  // //  // //  // //
148    6 37   6 25   6 15   6  6   5 58   5 50   5 36   5 21   5  6   4 48   4 28   4  1   3 44   3 24   3 24   3 14   3  3   2 50   2 36   2 19   1 57   1 29   0 42  // //  // //  // //  // //  // //
149    6 38   6 26   6 16   6  7   5 58   5 51   5 36   5 21   5  6   4 48   4 27   4  1   3 44   3 23   3 23   3 13   3  2   2 49   2 35   2 17   1 56   1 27   0 35  // //  // //  // //  // //  // //
150    6 39   6 27   6 17   6  7   5 59   5 51   5 36   5 21   5  6   4 48   4 27   4  0   3 43   3 22   3 22   3 12   3  1   2 48   2 33   2 16   1 54   1 24   0 27  // //  // //  // //  // //  // //
151    6 40   6 28   6 17   6  8   6  0   5 52   5 37   5 22   5  6   4 48   4 27   4  0   3 43   3 21   3 21   3 11   3  0   2 47   2 32   2 14   1 52   1 21   0 17  // //  // //  // //  // //  // //
152    6 41   6 29   6 18   6  9   6  0   5 52   5 37   5 22   5  6   4 48   4 27   4  0   3 42   3 21   3 21   3 11   2 59   2 46   2 31   2 13   1 50   1 18  // //  // //  // //  // //  // //  // //
153    6 42   6 29   6 19   6  9   6  1   5 53   5 37   5 22   5  6   4 48   4 27   3 59   3 42   3 20   3 20   3 10   2 58   2 45   2 30   2 11   1 48   1 16  // //  // //  // //  // //  // //  // //
154    6 43   6 30   6 19   6 10   6  1   5 53   5 38   5 22   5  6   4 48   4 27   3 59   3 41   3 20   3 20   3  9   2 58   2 44   2 29   2 10   1 47   1 13  // //  // //  // //  // //  // //  // //
155    6 44   6 31   6 20   6 10   6  2   5 53   5 38   5 22   5  6   4 48   4 27   3 59   3 41   3 19   3 19   3  9   2 57   2 44   2 28   2  9   1 45   1 11  // //  // //  // //  // //  // //  // //
156    6 45   6 32   6 21   6 11   6  2   5 54   5 38   5 23   5  6   4 48   4 26   3 59   3 41   3 19   3 19   3  8   2 56   2 43   2 27   2  8   1 44   1  8  // //  // //  // //  // //  // //  // //
157    6 46   6 32   6 21   6 12   6  3   5 54   5 38   5 23   5  7   4 48   4 26   3 58   3 40   3 18   3 18   3  8   2 56   2 42   2 26   2  7   1 42   1  6  // //  // //  // //  // //  // //  // //
158    6 46   6 33   6 22   6 12   6  3   5 55   5 39   5 23   5  7   4 48   4 26   3 58   3 40   3 18   3 18   3  7   2 55   2 41   2 25   2  6   1 41   1  4  // //  // //  // //  // //  // //  // //
159    6 47   6 34   6 23   6 13   6  4   5 55   5 39   5 23   5  7   4 48   4 26   3 58   3 40   3 17   3 17   3  7   2 55   2 41   2 25   2  5   1 40   1  1  // //  // //  // //  // //  // //  // //
160    6 48   6 34   6 23   6 13   6  4   5 55   5 39   5 24   5  7   4 48   4 26   3 58   3 40   3 17   3 17   3  6   2 54   2 40   2 24   2  4   1 38   0 59  // //  // //  // //  // //  // //  // //
161    6 49   6 35   6 24   6 14   6  4   5 56   5 40   5 24   5  7   4 49   4 26   3 58   3 40   3 17   3 17   3  6   2 54   2 40   2 23   2  3   1 37   0 57  // //  // //  // //  // //  // //  // //
162    6 49   6 36   6 24   6 14   6  5   5 56   5 40   5 24   5  7   4 49   4 26   3 58   3 39   3 17   3 17   3  6   2 53   2 39   2 23   2  3   1 36   0 55  // //  // //  // //  // //  // //  // //
163    6 50   6 36   6 25   6 14   6  5   5 57   5 40   5 24   5  8   4 49   4 26   3 58   3 39   3 16   3 16   3  6   2 53   2 39   2 22   2  2   1 35   0 53  // //  // //  // //  // //  // //  // //
164    6 50   6 37   6 25   6 15   6  6   5 57   5 41   5 25   5  8   4 49   4 26   3 58   3 39   3 16   3 16   3  5   2 53   2 39   2 22   2  1   1 35   0 52  // //  // //  // //  // //  // //  ++ ++
165    6 51   6 37   6 25   6 15   6  6   5 57   5 41   5 25   5  8   4 49   4 27   3 58   3 39   3 16   3 16   3  5   2 53   2 38   2 22   2  1   1 34   0 50  // //  // //  // //  // //  // //  ++ ++
166    6 51   6 38   6 26   6 16   6  6   5 58   5 41   5 25   5  8   4 49   4 27   3 58   3 39   3 16   3 16   3  5   2 53   2 38   2 21   2  1   1 33   0 49  // //  // //  // //  // //  // //  ++ ++
167    6 52   6 38   6 26   6 16   6  7   5 58   5 41   5 25   5  8   4 49   4 27   3 58   3 39   3 16   3 16   3  5   2 53   2 38   2 21   2  0   1 33   0 47  // //  // //  // //  // //  // //  ++ ++
168    6 52   6 38   6 27   6 16   6  7   5 58   5 42   5 25   5  9   4 50   4 27   3 58   3 39   3 16   3 16   3  5   2 53   2 38   2 21   2  0   1 32   0 47  // //  // //  // //  // //  // //  ++ ++
169    6 53   6 39   6 27   6 17   6  7   5 58   5 42   5 26   5  9   4 50   4 27   3 58   3 39   3 16   3 16   3  5   2 53   2 38   2 21   2  0   1 32   0 46  // //  // //  // //  // //  // //  ++ ++
170    6 53   6 39   6 27   6 17   6  7   5 59   5 42   5 26   5  9   4 50   4 27   3 58   3 40   3 16   3 16   3  5   2 53   2 38   2 21   2  0   1 32   0 45  // //  // //  // //  // //  // //  ++ ++
171    6 53   6 39   6 27   6 17   6  8   5 59   5 42   5 26   5  9   4 50   4 27   3 58   3 40   3 16   3 16   3  5   2 53   2 38   2 21   2  0   1 32   0 45  // //  // //  // //  // //  // //  ++ ++
172    6 54   6 40   6 28   6 17   6  8   5 59   5 43   5 26   5  9   4 50   4 28   3 59   3 40   3 17   3 17   3  6   2 53   2 38   2 21   2  0   1 32   0 45  // //  // //  // //  // //  // //  ++ ++
173    6 54   6 40   6 28   6 18   6  8   5 59   5 43   5 27   5 10   4 51   4 28   3 59   3 40   3 17   3 17   3  6   2 53   2 39   2 22   2  1   1 33   0 45  // //  // //  // //  // //  // //  ++ ++
174    6 54   6 40   6 28   6 18   6  8   6  0   5 43   5 27   5 10   4 51   4 28   3 59   3 40   3 17   3 17   3  6   2 53   2 39   2 22   2  1   1 33   0 46  // //  // //  // //  // //  // //  ++ ++
175    6 54   6 40   6 28   6 18   6  8   6  0   5 43   5 27   5 10   4 51   4 28   3 59   3 41   3 17   3 17   3  6   2 54   2 39   2 22   2  1   1 33   0 47  // //  // //  // //  // //  // //  ++ ++
176    6 54   6 40   6 28   6 18   6  9   6  0   5 43   5 27   5 10   4 51   4 29   4  0   3 41   3 18   3 18   3  7   2 54   2 40   2 23   2  2   1 34   0 48  // //  // //  // //  // //  // //  ++ ++
177    6 54   6 40   6 28   6 18   6  9   6  0   5 44   5 27   5 10   4 52   4 29   4  0   3 41   3 18   3 18   3  7   2 55   2 40   2 23   2  2   1 35   0 49  // //  // //  // //  // //  // //  ++ ++
178    6 54   6 40   6 29   6 18   6  9   6  0   5 44   5 28   5 11   4 52   4 29   4  0   3 42   3 19   3 19   3  8   2 55   2 41   2 24   2  3   1 35   0 50  // //  // //  // //  // //  // //  ++ ++
179    6 54   6 40   6 29   6 18   6  9   6  0   5 44   5 28   5 11   4 52   4 30   4  1   3 42   3 19   3 19   3  8   2 56   2 41   2 24   2  4   1 36   0 52  // //  // //  // //  // //  // //  ++ ++
180    6 54   6 40   6 29   6 18   6  9   6  0   5 44   5 28   5 11   4 52   4 30   4  1   3 43   3 20   3 20   3  9   2 56   2 42   2 25   2  5   1 37   0 54  // //  // //  // //  // //  // //  ++ ++
181    6 54   6 40   6 28   6 18   6  9   6  0   5 44   5 28   5 11   4 53   4 30   4  1   3 43   3 20   3 20   3  9   2 57   2 43   2 26   2  5   1 39   0 56  // //  // //  // //  // //  // //  ++ ++
182    6 54   6 40   6 28   6 18   6  9   6  0   5 44   5 28   5 12   4 53   4 31   4  2   3 43   3 21   3 21   3 10   2 57   2 43   2 27   2  6   1 40   0 58  // //  // //  // //  // //  // //  // //
183    6 53   6 40   6 28   6 18   6  9   6  0   5 44   5 28   5 12   4 53   4 31   4  2   3 44   3 21   3 21   3 10   2 58   2 44   2 28   2  7   1 41   1  0  // //  // //  // //  // //  // //  // //
184    6 53   6 40   6 28   6 18   6  9   6  1   5 44   5 29   5 12   4 53   4 31   4  3   3 45   3 22   3 22   3 11   2 59   2 45   2 29   2  9   1 43   1  3  // //  // //  // //  // //  // //  // //
185    6 53   6 39   6 28   6 18   6  9   6  0   5 45   5 29   5 12   4 54   4 32   4  3   3 45   3 23   3 23   3 12   3  0   2 46   2 30   2 10   1 44   1  5  // //  // //  // //  // //  // //  // //
186    6 52   6 39   6 28   6 18   6  9   6  0   5 45   5 29   5 12   4 54   4 32   4  4   3 46   3 23   3 23   3 13   3  1   2 47   2 31   2 11   1 46   1  8  // //  // //  // //  // //  // //  // //
187    6 52   6 39   6 28   6 18   6  9   6  0   5 45   5 29   5 13   4 54   4 32   4  4   3 46   3 24   3 24   3 13   3  1   2 48   2 32   2 12   1 47   1 10  // //  // //  // //  // //  // //  // //
188    6 51   6 38   6 27   6 18   6  9   6  0   5 45   5 29   5 13   4 55   4 33   4  5   3 47   3 25   3 25   3 14   3  2   2 49   2 33   2 14   1 49   1 13  // //  // //  // //  // //  // //  // //
189    6 51   6 38   6 27   6 17   6  8   6  0   5 45   5 29   5 13   4 55   4 33   4  5   3 48   3 26   3 26   3 15   3  3   2 50   2 34   2 15   1 51   1 16  // //  // //  // //  // //  // //  // //
190    6 50   6 37   6 27   6 17   6  8   6  0   5 45   5 29   5 13   4 55   4 34   4  6   3 48   3 26   3 26   3 16   3  4   2 51   2 35   2 17   1 53   1 19  // //  // //  // //  // //  // //  // //
191    6 50   6 37   6 26   6 17   6  8   6  0   5 45   5 29   5 13   4 55   4 34   4  7   3 49   3 27   3 27   3 17   3  5   2 52   2 37   2 18   1 55   1 22  // //  // //  // //  // //  // //  // //
192    6 49   6 36   6 26   6 16   6  8   6  0   5 45   5 30   5 14   4 56   4 35   4  7   3 50   3 28   3 28   3 18   3  6   2 53   2 38   2 20   1 57   1 24  // //  // //  // //  // //  // //  // //
193    6 48   6 36   6 25   6 16   6  8   6  0   5 45   5 30   5 14   4 56   4 35   4  8   3 50   3 29   3 29   3 19   3  7   2 54   2 39   2 21   1 59   1 27   0 11  // //  // //  // //  // //  // //
194    6 48   6 35   6 25   6 16   6  7   5 59   5 45   5 30   5 14   4 56   4 35   4  8   3 51   3 30   3 30   3 20   3  9   2 56   2 41   2 23   2  1   1 30   0 29  // //  // //  // //  // //  // //
195    6 47   6 35   6 24   6 15   6  7   5 59   5 44   5 30   5 14   4 57   4 36   4  9   3 52   3 31   3 31   3 21   3 10   2 57   2 42   2 25   2  3   1 33   0 38  // //  // //  // //  // //  // //
196    6 46   6 34   6 24   6 15   6  7   5 59   5 44   5 30   5 14   4 57   4 36   4 10   3 53   3 32   3 32   3 22   3 11   2 58   2 44   2 26   2  5   1 36   0 46  // //  // //  // //  // //  // //
197    6 45   6 33   6 23   6 14   6  6   5 59   5 44   5 30   5 14   4 57   4 37   4 10   3 54   3 33   3 33   3 23   3 12   3  0   2 45   2 28   2  7   1 39   0 52  // //  // //  // //  // //  // //
198    6 44   6 33   6 23   6 14   6  6   5 58   5 44   5 30   5 15   4 58   4 37   4 11   3 54   3 34   3 34   3 24   3 13   3  1   2 47   2 30   2  9   1 42   0 58  // //  // //  // //  // //  // //
199    6 43   6 32   6 22   6 13   6  6   5 58   5 44   5 30   5 15   4 58   4 38   4 12   3 55   3 35   3 35   3 25   3 15   3  2   2 48   2 32   2 12   1 45   1  4  // //  // //  // //  // //  // //
200    6 42   6 31   6 21   6 13   6  5   5 58   5 44   5 30   5 15   4 58   4 38   4 12   3 56   3 36   3 36   3 26   3 16   3  4   2 50   2 34   2 14   1 48   1  9  // //  // //  // //  // //  // //
201    6 41   6 30   6 21   6 12   6  5   5 57   5 44   5 30   5 15   4 58   4 39   4 13   3 57   3 37   3 37   3 28   3 17   3  5   2 52   2 36   2 16   1 51   1 14  // //  // //  // //  // //  // //
202    6 40   6 29   6 20   6 12   6  4   5 57   5 43   5 30   5 15   4 59   4 39   4 14   3 58   3 38   3 38   3 29   3 18   3  7   2 53   2 38   2 18   1 54   1 18  // //  // //  // //  // //  // //
203    6 39   6 28   6 19   6 11   6  4   5 57   5 43   5 30   5 15   4 59   4 40   4 15   3 59   3 39   3 39   3 30   3 20   3  8   2 55   2 39   2 21   1 57   1 23  // //  // //  // //  // //  // //
204    6 38   6 27   6 18   6 11   6  3   5 56   5 43   5 30   5 15   4 59   4 40   4 15   4  0   3 40   3 40   3 31   3 21   3 10   2 57   2 41   2 23   2  0   1 27  // //  // //  // //  // //  // //
205    6 36   6 26   6 18   6 10   6  3   5 56   5 43   5 30   5 15   5  0   4 40   4 16   4  0   3 41   3 41   3 32   3 22   3 11   2 58   2 43   2 25   2  3   1 32   0 26  // //  // //  // //  // //
206    6 35   6 25   6 17   6  9   6  2   5 55   5 42   5 29   5 16   5  0   4 41   4 17   4  1   3 43   3 43   3 34   3 24   3 13   3  0   2 45   2 28   2  6   1 36   0 40  // //  // //  // //  // //
207    6 34   6 24   6 16   6  8   6  1   5 55   5 42   5 29   5 16   5  0   4 41   4 17   4  2   3 44   3 44   3 35   3 25   3 14   3  2   2 47   2 30   2  9   1 40   0 50  // //  // //  // //  // //
208    6 33   6 23   6 15   6  8   6  1   5 54   5 42   5 29   5 16   5  0   4 42   4 18   4  3   3 45   3 45   3 36   3 27   3 16   3  4   2 49   2 32   2 12   1 44   0 59  // //  // //  // //  // //
209    6 31   6 22   6 14   6  7   6  0   5 54   5 42   5 29   5 16   5  1   4 42   4 19   4  4   3 46   3 46   3 37   3 28   3 17   3  5   2 51   2 35   2 15   1 48   1  6  // //  // //  // //  // //
210    6 30   6 21   6 13   6  6   6  0   5 53   5 41   5 29   5 16   5  1   4 43   4 20   4  5   3 47   3 47   3 39   3 29   3 19   3  7   2 53   2 37   2 17   1 52   1 13  // //  // //  // //  // //
211    6 28   6 20   6 12   6  5   5 59   5 53   5 41   5 29   5 16   5  1   4 43   4 20   4  6   3 48   3 48   3 40   3 31   3 21   3  9   2 55   2 40   2 20   1 55   1 19  // //  // //  // //  // //
212    6 27   6 18   6 11   6  4   5 58   5 52   5 40   5 29   5 16   5  1   4 44   4 21   4  7   3 49   3 49   3 41   3 32   3 22   3 11   2 57   2 42   2 23   1 59   1 25  // //  // //  // //  // //
213    6 25   6 17   6 10   6  3   5 57   5 52   5 40   5 28   5 16   5  1   4 44   4 22   4  8   3 51   3 51   3 43   3 34   3 24   3 12   2 59   2 44   2 26   2  3   1 30  // //  // //  // //  // //
214    6 24   6 16   6  9   6  3   5 57   5 51   5 40   5 28   5 16   5  2   4 45   4 23   4  9   3 52   3 52   3 44   3 35   3 25   3 14   3  2   2 47   2 29   2  6   1 35   0 34  // //  // //  // //
215    6 22   6 15   6  8   6  2   5 56   5 50   5 39   5 28   5 16   5  2   4 45   4 23   4 10   3 53   3 53   3 45   3 37   3 27   3 16   3  4   2 49   2 32   2 10   1 40   0 48  // //  // //  // //
216    6 21   6 13   6  7   6  1   5 55   5 50   5 39   5 28   5 16   5  2   4 46   4 24   4 11   3 54   3 54   3 46   3 38   3 28   3 18   3  6   2 51   2 34   2 13   1 45   0 58  // //  // //  // //
217    6 19   6 12   6  5   6  0   5 54   5 49   5 38   5 28   5 16   5  2   4 46   4 25   4 12   3 55   3 55   3 48   3 39   3 30   3 20   3  8   2 54   2 37   2 17   1 50   1  7  // //  // //  // //
218    6 17   6 10   6  4   5 59   5 53   5 48   5 38   5 27   5 16   5  3   4 46   4 26   4 12   3 57   3 57   3 49   3 41   3 32   3 21   3 10   2 56   2 40   2 20   1 54   1 15  // //  // //  // //
219    6 16   6  9   6  3   5 58   5 52   5 47   5 37   5 27   5 16   5  3   4 47   4 26   4 13   3 58   3 58   3 50   3 42   3 33   3 23   3 12   2 58   2 43   2 23   1 59   1 22  // //  // //  // //
220    6 14   6  7   6  2   5 57   5 52   5 47   5 37   5 27   5 16   5  3   4 47   4 27   4 14   3 59   3 59   3 52   3 44   3 35   3 25   3 14   3  1   2 45   2 27   2  3   1 29  // //  // //  // //
221    6 12   6  6   6  1   5 55   5 51   5 46   5 36   5 27   5 16   5  3   4 48   4 28   4 15   4  0   4  0   3 53   3 45   3 37   3 27   3 16   3  3   2 48   2 30   2  7   1 35   0 25  // //  // //
222    6 10   6  4   5 59   5 54   5 50   5 45   5 36   5 26   5 16   5  3   4 48   4 29   4 16   4  1   4  1   3 54   3 47   3 38   3 29   3 18   3  5   2 51   2 33   2 11   1 41   0 45  // //  // //
223    6  8   6  3   5 58   5 53   5 49   5 44   5 35   5 26   5 15   5  3   4 49   4 29   4 17   4  2   4  2   3 56   3 48   3 40   3 30   3 20   3  8   2 53   2 36   2 15   1 46   0 58  // //  // //
224    6  6   6  1   5 57   5 52   5 48   5 43   5 35   5 26   5 15   5  3   4 49   4 30   4 18   4  4   4  4   3 57   3 50   3 41   3 32   3 22   3 10   2 56   2 39   2 19   1 51   1  8  // //  // //
225    6  5   6  0   5 55   5 51   5 47   5 43   5 34   5 25   5 15   5  4   4 49   4 31   4 19   4  5   4  5   3 58   3 51   3 43   3 34   3 24   3 12   2 59   2 42   2 23   1 56   1 17  // //  // //
226    6  3   5 58   5 54   5 50   5 46   5 42   5 34   5 25   5 15   5  4   4 50   4 32   4 20   4  6   4  6   4  0   3 52   3 45   3 36   3 26   3 14   3  1   2 46   2 26   2  1   1 25  // //  // //
227    6  1   5 56   5 52   5 48   5 45   5 41   5 33   5 25   5 15   5  4   4 50   4 32   4 21   4  7   4  7   4  1   3 54   3 46   3 38   3 28   3 17   3  4   2 49   2 30   2  6   1 32  // //  // //
228    5 59   5 55   5 51   5 47   5 44   5 40   5 32   5 24   5 15   5  4   4 51   4 33   4 22   4  8   4  8   4  2   3 55   3 48   3 39   3 30   3 19   3  6   2 51   2 33   2 10   1 38   0 34  // //
229    5 57   5 53   5 49   5 46   5 43   5 39   5 32   5 24   5 15   5  4   4 51   4 34   4 23   4 10   4 10   4  3   3 57   3 49   3 41   3 32   3 21   3  9   2 54   2 37   2 15   1 45   0 52  // //
230    5 55   5 51   5 48   5 45   5 41   5 38   5 31   5 23   5 15   5  4   4 51   4 34   4 24   4 11   4 11   4  5   3 58   3 51   3 43   3 34   3 23   3 11   2 57   2 40   2 19   1 51   1  4  // //
231    5 53   5 50   5 46   5 43   5 40   5 37   5 30   5 23   5 14   5  4   4 52   4 35   4 25   4 12   4 12   4  6   4  0   3 52   3 45   3 36   3 26   3 14   3  0   2 44   2 23   1 56   1 14  // //
232    5 51   5 48   5 45   5 42   5 39   5 36   5 30   5 23   5 14   5  4   4 52   4 36   4 26   4 13   4 13   4  7   4  1   3 54   3 46   3 38   3 28   3 16   3  3   2 47   2 28   2  2   1 23  // //
233    5 48   5 46   5 43   5 41   5 38   5 35   5 29   5 22   5 14   5  4   4 52   4 37   4 26   4 14   4 14   4  9   4  2   3 56   3 48   3 40   3 30   3 19   3  6   2 50   2 32   2  7   1 32  // //
234    5 46   5 44   5 42   5 39   5 37   5 34   5 28   5 22   5 14   5  5   4 53   4 37   4 27   4 15   4 15   4 10   4  4   3 57   3 50   3 41   3 32   3 21   3  9   2 54   2 35   2 12   1 39   0 30
235    5 44   5 42   5 40   5 38   5 36   5 33   5 28   5 21   5 14   5  5   4 53   4 38   4 28   4 17   4 17   4 11   4  5   3 59   3 51   3 43   3 34   3 24   3 11   2 57   2 39   2 17   1 46   0 51
236    5 42   5 40   5 39   5 37   5 35   5 32   5 27   5 21   5 14   5  5   4 53   4 39   4 29   4 18   4 18   4 12   4  7   4  0   3 53   3 45   3 36   3 26   3 14   3  0   2 43   2 22   1 52   1  4
237    5 40   5 38   5 37   5 35   5 33   5 31   5 26   5 20   5 13   5  5   4 54   4 39   4 30   4 19   4 19   4 14   4  8   4  2   3 55   3 47   3 38   3 28   3 17   3  3   2 47   2 26   1 59   1 16
238    5 37   5 37   5 35   5 34   5 32   5 30   5 26   5 20   5 13   5  5   4 54   4 40   4 31   4 20   4 20   4 15   4  9   4  3   3 57   3 49   3 40   3 31   3 19   3  6   2 50   2 31   2  5   1 26
239    5 35   5 35   5 34   5 32   5 31   5 29   5 25   5 19   5 13   5  5   4 54   4 41   4 32   4 21   4 21   4 16   4 11   4  5   3 58   3 51   3 43   3 33   3 22   3  9   2 54   2 35   2 10   1 34
240    5 33   5 33   5 32   5 31   5 30   5 28   5 24   5 19   5 13   5  5   4 55   4 41   4 33   4 22   4 22   4 17   4 12   4  6   4  0   3 53   3 45   3 35   3 25   3 12   2 57   2 39   2 16   1 42
241    5 31   5 31   5 30   5 30   5 28   5 27   5 23   5 18   5 12   5  5   4 55   4 42   4 34   4 23   4 23   4 19   4 14   4  8   4  2   3 55   3 47   3 38   3 27   3 15   3  1   2 43   2 21   1 50
242    5 28   5 29   5 29   5 28   5 27   5 26   5 22   5 18   5 12   5  5   4 55   4 43   4 34   4 24   4 24   4 20   4 15   4  9   4  3   3 56   3 49   3 40   3 30   3 18   3  4   2 47   2 26   1 57
243    5 26   5 27   5 27   5 27   5 26   5 25   5 22   5 17   5 12   5  5   4 56   4 43   4 35   4 26   4 26   4 21   4 16   4 11   4  5   3 58   3 51   3 42   3 32   3 21   3  8   2 51   2 31   2  3
